"uri","height","weight"
"http://dbpedia.org/resource/2_Cold_Scorpio","180.34","110.2248"
"http://dbpedia.org/resource/2_Tuff_Tony","182.88","113.4"
"http://dbpedia.org/resource/A-1_(wrestler)","182.88","116.1216"
"http://dbpedia.org/resource/A-Kid_(wrestler)","172.72","69.8544"
"http://dbpedia.org/resource/A.C._Golden","182.88","99.792"
"http://dbpedia.org/resource/A.J._Freeley","180.0","104.0"
"http://dbpedia.org/resource/A.J._Petrucci","187.96","113.4"
"http://dbpedia.org/resource/ACH_(wrestler)","175.26","90.72"
"http://dbpedia.org/resource/AJ_Styles","180.34","98.8848"
"http://dbpedia.org/resource/AR_Fox","182.88","83.916"
"http://dbpedia.org/resource/Bobby_Walker_(wrestler)","180.34","107.9568"
"http://dbpedia.org/resource/Mohammad_Reza_Navaei","169.0","62.0"
"http://dbpedia.org/resource/Mohammadali_Geraei","180.0","77.0"
"http://dbpedia.org/resource/Momo_Watanabe","156.0","55.0"
"http://dbpedia.org/resource/Momoe_Nakanishi","157.0","60.0"
"http://dbpedia.org/resource/Monsta_Mack","177.8","124.74"
"http://dbpedia.org/resource/Monster_Clown","190.0","110.0"
"http://dbpedia.org/resource/Monster_Pain","205.74","176.4504"
"http://dbpedia.org/resource/Montel_Vontavious_Porter","190.5","117.4824"
"http://dbpedia.org/resource/Moondog_King","180.34","140.616"
"http://dbpedia.org/resource/Moondog_Rex","193.04","131.544"
"http://dbpedia.org/resource/Moondog_Spike","187.96","156.492"
"http://dbpedia.org/resource/Moose_Cholak","193.04","163.296"
"http://dbpedia.org/resource/Morgus_the_Maniac","190.5","105.6888"
"http://dbpedia.org/resource/Mosh_(wrestler)","187.96","110.2248"
"http://dbpedia.org/resource/Mostafa_Mohamed","160.0","55.0"
"http://dbpedia.org/resource/Mototsugu_Shimizu","170.0","72.0"
"http://dbpedia.org/resource/Mr._Fuji","177.8","122.472"
"http://dbpedia.org/resource/Mr._Gannosuke","178.0","100.0"
"http://dbpedia.org/resource/Mr._Hito","183.0","112.0"
"http://dbpedia.org/resource/Mr._Niebla","178.0","98.0"
"http://dbpedia.org/resource/Mr._Pogo","183.0","129.0"
"http://dbpedia.org/resource/Mr._Scott_Wright","182.88","92.988"
"http://dbpedia.org/resource/Mr._Wrestling","182.88","104.328"
"http://dbpedia.org/resource/Mr._Wrestling_II","182.88","112.0392"
"http://dbpedia.org/resource/Mr._Águila","177.8","97.524"
"http://dbpedia.org/resource/MsChif","170.18","61.236"
"http://dbpedia.org/resource/Muhammad_Hassan_(wrestler)","187.96","104.7816"
"http://dbpedia.org/resource/Muhammad_Umar","168.0","96.0"
"http://dbpedia.org/resource/Muhammad_Yone","185.0","110.0"
"http://dbpedia.org/resource/Multibronce","170.0","62.0"
"http://dbpedia.org/resource/Muminjon_Abdullaev","187.0","96.0"
"http://dbpedia.org/resource/Munenori_Sawa","174.0","80.0"
"http://dbpedia.org/resource/Murat_Bosporus","167.64000000000001","110.0"
